# Episode,Reward,Timestep
1001,479.56,224232
1002,346.40,224608
1003,515.22,224688
1004,433.78,224888
1005,484.67,225160
1006,500.89,225472
1007,511.54,225488
1008,208.80,225640
1009,499.24,225848
1010,615.43,226240
1011,418.21,226504
1012,313.49,226704
1013,347.89,226816
1014,320.69,227144
1015,410.55,227280
1016,414.22,227312
1017,376.33,227536
1018,530.86,227848
1019,210.86,228424
1020,462.39,228512
1021,495.77,228512
1022,498.00,228752
1023,595.54,228824
1024,602.26,229320
1025,524.77,229528
1026,193.79,229536
1027,594.98,229856
1028,426.84,230144
1029,478.28,230456
1030,606.59,230520
1031,696.26,230832
1032,424.82,230840
1033,495.13,231328
1034,491.16,231480
1035,512.39,231632
1036,472.67,231784
1037,435.35,232008
1038,402.11,232528
1039,411.72,232752
1040,622.41,232848
1041,433.48,233312
1042,477.53,233336
1043,456.67,233480
1044,519.76,233488
1045,682.32,233792
1046,533.10,234400
1047,464.57,234672
1048,499.03,234824
1049,354.41,234976
1050,498.34,235168
1051,452.39,235192
1052,448.01,235488
1053,433.29,235536
1054,539.60,236248
1055,432.51,236344
1056,517.29,236392
1057,421.98,236456
1058,417.98,236528
1059,433.84,236576
1060,379.17,237072
1061,522.83,237544
1062,481.28,238048
1063,482.71,238104
1064,533.57,238240
1065,501.92,238352
1066,421.29,238368
1067,423.98,238512
1068,460.74,238984
1069,381.79,239080
1070,451.62,239800
1071,532.35,239808
1072,534.64,239936
1073,363.38,240072
1074,439.93,240160
1075,488.99,240208
1076,479.27,240552
1077,504.86,240768
1078,297.58,241448
1079,418.84,241544
1080,409.21,241608
1081,477.96,241760
1082,518.48,242168
1083,549.96,242216
1084,511.86,242248
1085,402.06,242416
1086,490.81,243272
1087,486.48,243288
1088,431.61,243376
1089,482.03,243504
1090,459.65,243680
1091,431.57,244064
1092,557.76,244224
1093,343.06,244424
1094,374.35,244872
1095,433.75,244952
1096,435.87,245112
1097,418.78,245272
1098,509.28,245688
1099,521.85,246072
1100,378.89,246232
1101,355.22,246432
1102,497.23,246488
1103,498.24,246504
1104,196.87,246536
1105,354.48,246768
1106,348.34,246832
1107,365.79,247720
1108,459.94,247752
1109,444.26,248032
1110,415.90,248048
1111,525.39,248312
1112,490.09,248440
1113,348.18,248672
1114,143.45,248672
1115,421.31,248736
1116,376.40,249256
1117,370.12,249480
1118,456.60,249864
1119,462.31,250184
1120,344.81,250272
1121,505.89,250320
1122,453.93,250368
1123,387.99,250464
1124,453.11,251016
1125,482.92,251272
1126,523.52,251552
1127,444.13,251920
1128,363.75,251936
1129,744.58,252280
1130,458.14,252328
1131,362.67,252360
1132,375.24,252472
1133,369.62,252936
1134,430.27,253248
1135,466.73,253648
1136,468.60,253688
1137,381.59,254008
1138,385.14,254112
1139,437.01,254264
1140,399.42,254480
1141,500.79,254944
1142,427.08,255120
1143,447.02,255656
1144,627.50,255696
1145,331.30,255704
1146,366.94,255768
1147,442.60,255848
1148,486.36,255968
1149,377.94,256704
1150,469.20,256760
1151,502.70,257360
1152,514.02,257416
1153,453.83,257664
1154,675.01,257776
1155,720.12,257856
1156,290.35,257960
1157,380.17,258280
1158,446.71,258768
1159,394.36,258768
1160,491.25,259224
1161,343.92,259384
1162,613.42,259672
1163,367.53,259784
1164,602.37,259784
1165,512.92,260120
1166,377.10,260224
1167,499.45,260776
1168,492.91,261232
1169,651.17,261392
1170,511.74,261448
1171,428.69,261560
1172,500.06,261624
1173,464.35,261760
1174,403.62,262040
1175,565.40,262736
1176,501.63,262752
1177,422.26,262896
1178,376.84,263016
1179,233.15,263184
1180,387.71,263448
1181,433.10,263456
1182,458.91,263472
1183,461.52,264480
1184,378.97,264512
1185,256.48,264544
1186,392.75,264664
1187,510.06,264688
1188,431.97,264904
1189,412.86,265352
1190,433.44,265376
1191,490.16,265984
1192,529.64,266144
1193,435.32,266208
1194,486.13,266456
1195,660.58,266552
1196,389.81,266640
1197,462.55,266816
1198,417.88,266880
1199,622.83,267992
1200,426.22,268032
1201,601.99,268216
1202,422.40,268296
1203,311.06,268392
1204,698.78,268464
1205,561.59,268488
1206,451.69,268784
1207,285.41,269400
1208,286.19,269544
1209,364.26,269640
1210,432.08,269824
1211,326.00,269824
1212,490.72,270184
1213,417.98,270304
1214,533.17,270552
1215,391.36,270864
1216,467.43,271016
1217,244.55,271272
1218,412.65,271320
1219,519.65,271472
1220,332.42,271512
1221,192.66,271632
1222,410.25,271696
1223,208.86,271984
1224,529.04,272840
1225,499.99,273072
1226,328.56,273248
1227,615.92,273280
1228,460.77,273520
1229,416.87,273608
1230,433.80,273616
1231,479.14,273624
1232,230.11,274136
1233,465.39,274712
1234,433.22,274944
1235,378.84,275056
1236,472.81,275080
1237,444.70,275176
1238,510.10,275328
1239,700.38,275616
1240,614.20,276144
